node_id,address,in_degree,out_degree,total_degree,total_received,total_sent,net_balance,activity_days,node_type,in_degree_centrality,out_degree_centrality,pagerank,betweenness_centrality,closeness_centrality,clustering_coefficient,neighbors_1hop,neighbors_2hop,triangle_count,in_tx_per_day,avg_time_between_in_tx,out_tx_per_day,avg_time_between_out_tx,tx_time_std,unique_senders,unique_receivers,repetition_rate_in,repetition_rate_out,fan_out_ratio,avg_received_value,std_received_value,max_received_value,avg_sent_value,std_sent_value,max_sent_value,most_active_hour,hour_concentration
0,0x00000c07575bb4e64457687a0382b4d3ea470000,152,384,536,17.002536662548067,73.47181226452508,-56.46927560197702,846,hub,0.1,0.07272727272727272,0.06271456475277448,0.006550416982562548,0.1,0,222.0,0.0,0,0.179456906729634,134.48399558498895,0.45605700712589076,52.7442819843342,1505922.8236743761,132.0,94.0,0.11363636363636363,0.723404255319149,0.7164179104477612,0.11185879383255305,0.5772585877824491,6.641058755281408,0.19133284443886742,1.6426933774136638,28.34915252389234,15.0,0.15885416666666666
1,0x000019ef40f8eaab40a233906a5d428418920000,0,1,1,0.0,0.0009825328658179,-0.0009825328658179,0,source_only,0.0,0.0007575757575757576,0.0005834044560271847,0.0,0.0,0,1.0,221.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009825328658179,0.0,0.0009825328658179,15.0,1.0
2,0x00009b95f379d40a69b4334e9334535266a40000,1,0,1,0.003193,0.0,0.003193,0,sink_only,0.0007575757575757576,0.0,0.0005873720691285646,0.0,0.05056889651229274,0,1.0,221.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.003193,0.0,0.003193,0.0,0.0,0.0,0.0,0.0
3,0x00022cbef52bb7ae7f7bfe0cd1432897f939d000,1,0,1,0.0031803749662085,0.0,0.0031803749662085,0,sink_only,0.0007575757575757576,0.0,0.0005873563812959694,0.0,0.05056889651229274,0,1.0,221.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0031803749662085,0.0,0.0031803749662085,0.0,0.0,0.0,0.0,0.0
4,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0,14,14,0.0,25.0,-25.0,18,source_only,0.0,0.0007575757575757576,0.0005834044560271847,0.0,0.0,0,1.0,1083.0,0,0.0,0.0,0.7368421052631579,33.69369658119658,184370.71786411954,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.7857142857142858,4.643913658320326,15.0,8.0,0.14285714285714285
5,0x000817415963a38c16ba6ccc98f4002684c97697,0,3,3,0.0,0.035,-0.035,7,source_only,0.0,0.0007575757575757576,0.0005834044560271847,0.0,0.0,0,1.0,1083.0,0,0.0,0.0,0.375,86.46666666666667,439916.58442027395,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.011666666666666667,0.012583057392117916,0.025,14.0,0.6666666666666666
6,0x000dcf36d188714ec52fe527d437c486d4fb24d8,0,6,6,0.0,1.2,-1.2,27,source_only,0.0,0.0007575757575757576,0.0005834044560271847,0.0,0.0,0,1.0,1083.0,0,0.0,0.0,0.21428571428571427,134.25616666666667,1040039.2458713758,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.20000000000000004,0.39496835316262996,1.0,10.0,0.3333333333333333
7,0x001a8a885ebabe4b1cd4b17862ad4f6ad124b195,0,10,10,0.0,46.0,-46.0,2,source_only,0.0,0.0007575757575757576,0.0005834044560271847,0.0,0.0,0,1.0,1083.0,0,0.0,0.0,3.3333333333333335,5.499012345679012,39099.05756252672,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.6,8.591985930052621,26.0,21.0,0.7
8,0x001abc8196c60c2de9f9a2edbdf8db00c1fa35ef,0,2,2,0.0,2.076,-2.076,0,source_only,0.0,0.0007575757575757576,0.0005834044560271847,0.0,0.0,0,1.0,1083.0,0,0.0,0.0,2.0,0.05638888888888889,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.038,1.4679536777432727,2.076,1.0,1.0
9,0x002c6a9a3151094ec5109c61dbe89b3d1d39b17a,0,1,1,0.0,0.0,0.0,0,source_only,0.0,0.0007575757575757576,0.0005834044560271847,0.0,0.0,0,1.0,1083.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
